"track","task_id","file","type","description","guidelines","judge_candidate","reason","question"
"a","a-5-3","trajectory.png","png","UMAP 1 as x-axis, UMAP 2 as y-axis, cells colored by cluster, trajectory paths overlaid","Plot must show a UMAP with cells colored by cluster and at least one trajectory path overlaid; exact trajectory topology, color palette, and point size may differ.",TRUE,"image: always needs scientific-content judging","Infer differentiation trajectories from single-cell RNA-seq data and visualize the trajectory graph overlaid on a UMAP colored by cell cluster."
"a","a-5-7","pbmc_seurat_object_singleR_umap.png","png","UMAP 1 as x-axis, UMAP 2 as y-axis, cells colored by cell type","Cells colored by cell type label on a UMAP layout; axis labels and color scheme may differ.",TRUE,"image: always needs scientific-content judging","Given a Seurat object RDS file, automate cell type annotation for each cluster using SingleR and save a UMAP plot with cells colored by cell type annotation."
"a","a-5-8","pbmc_seurat_object_dbl_umap.png","png","UMAP 1 as x-axis, UMAP 2 as y-axis, cells colored by singlet/doublet classification","Plot must show a UMAP with cells colored by singlet/doublet classification; color palette and exact layout may differ.",TRUE,"image: always needs scientific-content judging","Given a folder of single-cell RNA-seq expression data output by cellranger, create a Seurat object with standard preprocessing, then perform doublet detection using scDblFinder and visualize singlet/doublet classification on a UMAP."
"a","a-5-9","tcell_subclusters_umap.png","png","UMAP 1 as x-axis, UMAP 2 as y-axis, points colored and labeled by T-cell subcluster","Plot must show T-cells on a UMAP colored by sub-cluster identity; exact cluster count, colors, fonts, and pixel layout may differ.",TRUE,"image: always needs scientific-content judging","Given a Seurat object with broad cell type annotations, perform sub-clustering analysis on the T-cell population to investigate T-cell subtypes (e.g., CD4+, CD8+, regulatory T-cells). Find the top marker genes per sub-cluster and save a UMAP plot with cells colored by sub-cluster."
"a","a-7-10","lineweaver_burk_plot.png","png","1/[S] as x-axis, 1/V as y-axis, control and inhibitor overlaid","Double-reciprocal plot with 1/[S] on x-axis and 1/V on y-axis showing both control and inhibitor series; colors, fonts, and styling may differ.",TRUE,"image: always needs scientific-content judging","Fit the Michaelis-Menten equation to calculate Vmax and Km with and without inhibitor, and plot both the Michaelis-Menten and Lineweaver-Burk (double-reciprocal) curves to compare enzyme kinetics."
"a","a-7-10","michaelis_menten_fit.png","png","[S] as x-axis, V as y-axis, fitted curves for control and inhibitor with Vmax and Km annotated","Saturation curve plot with [S] on x-axis and V on y-axis showing fitted curves for both control and inhibitor conditions; annotation style, colors, and fonts may differ.",TRUE,"image: always needs scientific-content judging","Fit the Michaelis-Menten equation to calculate Vmax and Km with and without inhibitor, and plot both the Michaelis-Menten and Lineweaver-Burk (double-reciprocal) curves to compare enzyme kinetics."
"a","a-7-5","TIC.png","png","retention time as x-axis, total ion current as y-axis","Line plot with retention time on x-axis and total ion current on y-axis; axis scale, colors, and styling may differ.",TRUE,"image: always needs scientific-content judging","Generate a TIC chromatogram from the provided mzML data using MS1 spectra only."
"a","a-7-9","effect_size_distribution.png","png","log2FC as x-axis, frequency as y-axis, 2x2 panel layout with one panel per dataset (proteomic, m6A methylation, gene expression, combined)","2x2 panel figure with log2FC on x-axis; the three individual panels (top-left, top-right, bottom-left) are single-dataset histograms with frequency/count on the y-axis, while the bottom-right panel is an overlaid normalized density comparison of all three datasets (y-axis is density, not frequency); panel labels, colors, bin sizes, and fonts may differ.",TRUE,"image: always needs scientific-content judging","Visualize the p-value and effect size (log2FC) distributions from the provided MeRIP-seq and proteomic data, and perform a chi-square test to evaluate the association between m6A modification status and differential gene expression using the m6A status and DEG status columns already provided in the MeRIP-seq data."
"a","a-7-9","p_value_distribution.png","png","p-value as x-axis, frequency as y-axis, 2x2 panel layout with one panel per dataset (proteomic, m6A methylation, gene expression, combined)","2x2 panel figure with p-value on x-axis; the three individual panels (top-left, top-right, bottom-left) are single-dataset histograms with frequency/count on the y-axis, while the bottom-right panel is an overlaid normalized density comparison of all three datasets (y-axis is density, not frequency); panel labels, colors, bin sizes, and fonts may differ.",TRUE,"image: always needs scientific-content judging","Visualize the p-value and effect size (log2FC) distributions from the provided MeRIP-seq and proteomic data, and perform a chi-square test to evaluate the association between m6A modification status and differential gene expression using the m6A status and DEG status columns already provided in the MeRIP-seq data."
"a","a-8-3","clustermap.png","png","heatmap; cells colored by z-score, tissue-type color sidebar","Clustermap must show hierarchical clustering dendrograms with z-scored cell values and a tissue-type color sidebar; color palette and dendrogram aesthetics may differ.",TRUE,"image: always needs scientific-content judging","Generate a hierarchical clustering heatmap to visualize metabolic differences among tissue samples. Z-score standardize the metabolite intensities, then produce a clustermap with a tissue-type color sidebar derived from the sample metadata."
"a","a-9-2","Sequences_cloneCount_top5.png","png","TRB amino acid sequences as x-axis, clone counts as y-axis","Plot must show the top 5 TRB CDR3 sequences as bars with clone count on the y-axis; visual styling and rendering may differ.",TRUE,"image: always needs scientific-content judging","Analyze the TCR sequencing data and identify the top 5 TRB clonotypes by clone count."
"a","a-9-6","clonotype_cluster_heatmap.png","png","heatmap; clonotypes as rows, cell clusters as columns, cell counts as values","Heatmap with clonotypes on the y-axis and clusters on the x-axis, and count values annotated in each cell; color palette and font styling may differ.",TRUE,"image: always needs scientific-content judging","Analyze the distribution of single-cell TCR clonotypes across different cell clusters and visualize the results using a heatmap."
"b","b-11-2","posterior_distributions_comparison.png","png","editing efficiency as x-axis, posterior probability density as y-axis, Guide A and Guide B curves with annotated posterior means","Plot must show both posterior Beta distribution curves with annotated posterior means; axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Two CRISPR guide RNAs, Guide A and Guide B, are tested for editing efficiency: Guide A succeeds in 45 out of 60 trials, and Guide B succeeds in 38 out of 60 trials. Using Beta(1,1) priors for both, compute their full posterior probability distributions, calculate and report the posterior mean efficiency for each guide, and generate a plot comparing the two posterior distributions."
"b","b-11-5","trace_plot.png","png","n-by-2 grid; left panels: density of sampled values per parameter group; right panels: MCMC iteration as x-axis, sampled values as y-axis","Trace plot must show MCMC sample paths over iterations for all population-level parameters (intercept, time effects, patient-level SD, and error SD); axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Analyze gene expression data from multiple patients across different time points. Build a hierarchical model with patient-level random effects and time-level fixed effects. Use MCMC sampling to estimate parameters and report posterior distributions for the random effects variance. Set the first time point as the reference level (time_effects[0] = 0) for identifiability."
"b","b-3-1","clustered_heatmap.png","png","clustered heatmap; genes as rows, samples as columns, cells colored by row-wise Z-score","Heatmap must show row Z-score coloring with hierarchical clustering dendrograms on both axes and labeled genes and samples; color palette and font size may differ.",TRUE,"image: always needs scientific-content judging","I have a gene expression matrix in CSV format. Generate a clustered heatmap using row-wise Z-score normalization and default hierarchical clustering. Label samples and genes clearly."
"b","b-3-10","manhattan_plot.png","png","genomic position (by chromosome) as x-axis, -log10(p-value) as y-axis, genome-wide significant SNPs highlighted","Manhattan plot must show -log10(p-value) vs chromosomal position with SNPs grouped by chromosome and a genome-wide significance threshold (p < 5e-8) visually marked; chromosome colors, significance-SNP marking style, and font may differ.",TRUE,"image: always needs scientific-content judging","Create a Manhattan plot from GWAS summary statistics. Plot -log10(p-value) against genomic position, grouped by chromosome. Highlight genome-wide significant SNPs (p < 5x10^-8) in red."
"b","b-3-11","tmb_ridge_plot.png","png","TMB (mut/Mb) as x-axis, one density ridge per cancer type","Ridge plot must show TMB density distributions for all 10 cancer types as stacked overlapping curves; axis labels, color scheme, and cancer type ordering may differ.",TRUE,"image: always needs scientific-content judging","Use a ridge plot to compare the distribution of tumor mutational burden (TMB) across 10 cancer types."
"b","b-3-12","biomarker_trend_2x2_grid.png","png","timepoint as x-axis, biomarker value as y-axis, 2x2 grid by sex and age group (< 60, >= 60), shared y-axis","2x2 grid must show longitudinal biomarker trends for the four age x sex subgroups with a shared y-axis and labeled panels; color scheme and styling may differ.",TRUE,"image: always needs scientific-content judging","Create a 2x2 grid of line plots showing the longitudinal trend of a biomarker for four patient subgroups (by age < 60 vs >= 60, and sex). Share y-axis and label each panel clearly."
"b","b-3-13","gene_coexpression_network.png","png","network graph; nodes sized by degree, edges weighted by |r|, hub genes highlighted in distinct color","Network graph must show nodes sized by degree, edge widths and edge transparency proportional to |r|, and hub genes (high-degree nodes) highlighted in a distinct color from non-hub nodes; layout, color scheme, and node label visibility may differ.",TRUE,"image: always needs scientific-content judging","Construct a gene co-expression network by computing pairwise Pearson correlation coefficients across genes, retaining only significant co-expression relationships where the absolute correlation |r|>0.6. Visualize the network with nodes sized by their degree, edge widths and edge transparency proportional to |r|, and highlight the hub genes with different color."
"b","b-3-14","gantt_patient_events.png","png","time as x-axis, patient ID as y-axis, bars color-coded by event type","Gantt chart must show horizontal event bars for each patient with distinct colors per event type (treatment, hospitalization, follow-up) and a legend; patient ordering, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Plot a Gantt-style timeline for patients, showing the duration of treatments, hospitalizations, and follow-up visits. Use color to distinguish event types and include patient IDs on the y-axis."
"b","b-3-15","lollipop_top20_log2fc.png","png","log2 fold change as x-axis, genes as y-axis, red for upregulated, blue for downregulated","Horizontal lollipop chart must show log2 fold change for the top 20 DE genes (by adjusted p-value) with upregulated genes in red and downregulated in blue, a vertical reference line at zero, and genes ordered by ascending log2FC along the y-axis; color scheme and styling may differ.",TRUE,"image: always needs scientific-content judging","Create a horizontal lollipop chart showing the log2 fold change of the top 20 differentially expressed genes (by adjusted p-value). Order genes by log2 fold change (ascending) along the y-axis. Use red for upregulated and blue for downregulated genes. Add a vertical reference line at zero."
"b","b-3-2","scatter_with_regression.png","png","first numeric column as x-axis, second numeric column as y-axis, regression line, 95% CI band, Pearson r annotated","Scatter plot must show a regression line with 95% confidence band and a Pearson r annotation; axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Generate a scatter plot showing the correlation between the first two numeric columns of the dataset. Add a regression line, correlation coefficient (r), and 95% confidence band."
"b","b-3-3","mutation_counts_per_sample.png","png","samples as x-axis, total mutation count as y-axis, bars in descending order","Bar plot must show mutation counts per sample with bars ordered by descending count; color scheme and font may differ.",TRUE,"image: always needs scientific-content judging","Create a bar plot showing total mutation counts per sample. Order the bars by descending count."
"b","b-3-4","cancer_grade_distribution_pie.png","png","pie chart; slices sized by patient count per cancer grade","Pie chart must show proportional slices with percentage labels for each cancer grade; color scheme and font may differ.",TRUE,"image: always needs scientific-content judging","Generate a pie chart to show the distribution of cancer grades across all patients."
"b","b-3-5","correlation_heatmap.png","png","Pearson correlation heatmap; numeric variables on both axes, diverging color scale","Heatmap must show pairwise Pearson correlations among all numeric variables with a diverging color scale and colorbar; color palette and cell annotation details may differ.",TRUE,"image: always needs scientific-content judging","Generate a heatmap to visualize the pairwise Pearson correlation matrix of all numeric variables in the dataset. Use a diverging color palette and include a colorbar."
"b","b-3-6","egfr_drug_correlation.png","png","drugs as x-axis, Pearson correlation (EGFR vs IC50) as y-axis, top 3 positive and negative drugs highlighted","Bar chart must show Pearson correlations for all drugs with the top 3 positively and top 3 negatively correlated drugs visually distinguished from the rest; axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","For each drug, compute the Pearson correlation between EGFR gene expression and drug response (IC50) across cell lines. Plot the correlation coefficients as a bar chart and highlight the top 3 positively and top 3 negatively correlated drugs."
"b","b-3-7","tp53_boxplot.png","png","tissue type as x-axis, TP53 expression as y-axis, jittered data points overlaid","Box plot must show TP53 expression across tissue types with individual data points overlaid as jittered points; axis labels, color scheme, and jitter details may differ.",TRUE,"image: always needs scientific-content judging","Create a box plot showing the distribution of TP53 expression levels across different tissue types. Include jittered data points (swarm or strip), proper axis labels, and a title."
"b","b-3-8","volcano_plot.png","png","log2 fold change as x-axis, -log10(p-value) as y-axis, significant genes highlighted, top 5 annotated by name","Volcano plot must show significantly differentially expressed genes (|log2FC| > 1, adj p < 0.05) highlighted in a distinct color and the 5 most significant genes annotated by name; axis labels, color scheme, and annotation offsets may differ.",TRUE,"image: always needs scientific-content judging","Create a volcano plot showing log2 fold change (x-axis) vs. -log10(p-value) (y-axis) for gene expression data. Highlight genes with |log2FC| > 1 and adjusted p-value < 0.05 in red. Annotate the top 5 most significant genes."
"b","b-3-9","stage_transition_sankey.png","png","Sankey diagram; disease stages I/II/III/IV as nodes across T1/T2/T3, link widths proportional to patient counts","Sankey diagram must show patient transitions between disease stages across T1, T2, and T3 with flow widths proportional to patient counts; color scheme and node ordering may differ.",TRUE,"image: always needs scientific-content judging","Visualize patient transitions between disease stages (I, II, III, IV) across three time points (T1, T2, T3) using a Sankey diagram. Flow width should be proportional to the number of patients making each transition."
"b","b-4-11","power_curve.png","png","sample size per group as x-axis, power as y-axis, 80% threshold line marked","Power curve versus sample size per group with 80% power threshold line marked; axis labels and colors may differ.",TRUE,"image: always needs scientific-content judging","A pilot study comparing a biomarker between two groups is stored in the input file. Using the observed mean difference and pooled standard deviation from the data, calculate the required sample size per group to achieve 80% power at alpha=0.05 (two-sided t-test). Report the sample size and plot power vs. sample size from 20 to 100."
"b","b-4-2","tp53_boxplot_with_pvalues.png","png","tumor grade as x-axis, TP53 expression as y-axis, pairwise significance brackets","Boxplot must show TP53 expression by tumor grade with pairwise Tukey HSD significance annotations; axis labels, color scheme, and styling may differ.",TRUE,"image: always needs scientific-content judging","Perform one-way ANOVA to test for differences in TP53 expression across tumor grades. If significant, conduct post-hoc Tukey HSD tests and visualize results using a labeled boxplot with p-values."
"b","b-5-1","hierarchical_dendrogram.png","png","samples as x-axis, linkage distance as y-axis","Plot must show a hierarchical tree with sample labels and linkage distance on the y-axis; colors, fonts, and styling may differ.",TRUE,"image: always needs scientific-content judging","Standardize the dataset (zero mean, unit variance), then perform hierarchical clustering (Ward's linkage, Euclidean distance) on the standardized data (with samples as rows) and plot the dendrogram to visualize the clustering structure."
"b","b-5-4","gmm_cluster_plot.png","png","feature_1 as x-axis, feature_2 as y-axis, points colored by cluster with covariance ellipses overlaid","Plot must show scatter points colored by GMM component with covariance ellipses overlaid; axis labels, colors, and styling may differ.",TRUE,"image: always needs scientific-content judging","Fit a Gaussian Mixture Model with 3 components (random_state=42) to the dataset. Visualize the clusters with scatter plots and overlay ellipses representing the Gaussian components. Report the mixing weights, means, and covariances for each component."
"b","b-5-5","consensus_matrix_heatmap.png","png","samples as rows, samples as columns, cells colored by pairwise co-assignment frequency (0-1)","Plot must show a symmetric sample-by-sample co-assignment matrix as a heatmap with a 0-1 color scale; color scheme, fonts, and styling may differ.",TRUE,"image: always needs scientific-content judging","Run K-means (k=3) 50 times using random_state=42 as the master seed. Build a consensus matrix where entry [i,j] is the fraction of runs in which samples i and j were co-clustered. Visualize it as a heatmap."
"b","b-5-6","kmeans_silhouette_scores.png","png","k (2-20) as x-axis, average silhouette score as y-axis, optimal k marked","Plot must show a line of silhouette scores over k=2 to 20 with the optimal k visually marked; colors, fonts, and styling may differ.",TRUE,"image: always needs scientific-content judging","Compute the average silhouette score for K-means clustering (random_state=42, n_init=10) over the range k=2 to k=20. Visualize the scores in a line plot and determine the optimal number of clusters based on the maximum average silhouette score."
"b","b-5-7","laplacian_eigenvalues.png","png","eigenvalue index as x-axis, eigenvalue as y-axis, eigengap annotated","Plot must show sorted Laplacian eigenvalues as a line with the eigengap annotated; axis labels and styling may differ.",TRUE,"image: always needs scientific-content judging","Apply spectral clustering to the dataset. Use the RBF kernel with gamma=0.01 to construct the affinity matrix W, and build the unnormalized graph Laplacian L = D - W (where D is the diagonal degree matrix). Report the sorted eigenvalues of L, visualize them with the largest eigengap annotated, and determine the optimal number of clusters using the eigengap heuristic."
"b","b-6-2","pca_rnaseq_plot.png","png","PC1 (% variance) as x-axis, PC2 (% variance) as y-axis, samples colored by biological group","Scatter plot must show samples colored by biological group with PC1 and PC2 variance-explained percentages on axes; color palette and marker styles may differ.",TRUE,"image: always needs scientific-content judging","Generate a PCA plot using a log2(x+1)-transformed and z-score standardized RNA-seq read count matrix. Color samples by known biological groups. Label the axes with the percentage of variance explained by PC1 and PC2."
"b","b-6-5","tsne_embedding.png","png","t-SNE Dim1 as x-axis, t-SNE Dim2 as y-axis, points colored by cell type","Scatter plot must show cells colored by cell type with distinct cluster separation; color legend labels must match the reference; exact coordinates and orientation may differ.",TRUE,"image: always needs scientific-content judging","Apply t-SNE to single-cell RNA-seq data with perplexity=30, 1000 iterations, and random_state=42. Visualize the 2D embedding, coloring cells by known cell type labels."
"b","b-6-6","umap_embedding.png","png","UMAP1 as x-axis, UMAP2 as y-axis, points colored by cell type","Scatter plot must show cells colored by cell type; axis labels, color palette, and spatial layout may differ.",TRUE,"image: always needs scientific-content judging","Apply UMAP (n_components=2, random_state=42) to a single-cell RNA-seq dataset to visualize cellular heterogeneity in a 2D embedding. Color cells by known cell type labels."
"b","b-6-9","mds_results.txt","txt","two labeled values: Stress and Between_Within_Ratio","Use semantic comparison. Verify that the output contains the Stress and Between_Within_Ratio values and that they are semantically equivalent to the reference; values should agree within approximately 5%; label names and whitespace differences are acceptable.",TRUE,"txt guideline explicitly asks for semantic/narrative comparison","Apply 2D MDS (random_state=42) to a z-score standardized gene expression dataset with known experimental groups. Calculate the ratio of between-group to within-group Euclidean distances in the 2D embedding, and the stress value defined as sqrt(sum((d_orig - d_mds)^2) / sum(d_orig^2)) where d_orig are pairwise Euclidean distances in the standardized high-dimensional space and d_mds are pairwise distances in the 2D embedding."
"b","b-7-2","roc_curves.png","png","FPR as x-axis, TPR as y-axis, training and test curves with AUC annotations","ROC curves for both training and test sets with per-curve AUC annotations on TPR vs. FPR axes; colors, fonts, and layout may differ.",TRUE,"image: always needs scientific-content judging","Build an SVM classification model to predict the binary outcome label using a 70/30 train-test split. Evaluate performance on both training and test sets and generate an ROC curve with AUC values for both sets."
